Labels,Predictions
0.0,0.58343494
1.0,0.58493763
1.0,0.58374053
0.0,0.58149505
1.0,0.5846388
0.0,0.5810065
1.0,0.5849643
0.0,0.5809962
0.0,0.58128744
0.0,0.581024
0.0,0.5810916
0.0,0.5807954
1.0,0.58342385
1.0,0.58343494
0.0,0.58126247
0.0,0.5808475
1.0,0.58454996
1.0,0.5844376
0.0,0.58126247
0.0,0.5809962
0.0,0.5807245
0.0,0.58337945
1.0,0.5848632
1.0,0.5835602
1.0,0.58522403
0.0,0.5814476
1.0,0.58253855
1.0,0.5844376
0.0,0.5810916
0.0,0.58151174
0.0,0.5812081
1.0,0.58487105
0.0,0.58404
0.0,0.5834014
0.0,0.58253855
1.0,0.585365
1.0,0.58454996
0.0,0.5814579
0.0,0.581117
0.0,0.581024
1.0,0.5850363
1.0,0.5844334
0.0,0.5807245
0.0,0.5815743
0.0,0.5804665
0.0,0.58123785
1.0,0.58362544
0.0,0.581024
0.0,0.5819448
0.0,0.5821982
1.0,0.5840706
0.0,0.58337253
1.0,0.5844376
1.0,0.5843275
1.0,0.58530647
1.0,0.584675
1.0,0.5844245
1.0,0.58502185
0.0,0.5811852
1.0,0.5848166
1.0,0.5811739
1.0,0.584501
0.0,0.5807211
0.0,0.581248
0.0,0.5822345
0.0,0.58077604
0.0,0.5816231
1.0,0.5840706
0.0,0.58193845
1.0,0.58454996
1.0,0.58493763
1.0,0.5854529
1.0,0.5823772
0.0,0.5807211
1.0,0.5849882
0.0,0.58149505
1.0,0.58404
0.0,0.5816231
0.0,0.5807211
0.0,0.5844334
0.0,0.58170706
1.0,0.58397377
1.0,0.58178955
0.0,0.58099204
0.0,0.5820563
1.0,0.58144504
1.0,0.5843503
1.0,0.58522743
0.0,0.5804665
0.0,0.58141106
1.0,0.5848632
0.0,0.58374053
1.0,0.5838513
1.0,0.58479905
1.0,0.5834014
0.0,0.58151174
1.0,0.58526725
1.0,0.58274984
0.0,0.58108217
0.0,0.581117
1.0,0.58187807
0.0,0.5809962
0.0,0.58099204
1.0,0.5849882
1.0,0.5850363
0.0,0.5820894
0.0,0.58112854
1.0,0.58362544
1.0,0.58274984
0.0,0.58253855
1.0,0.58454996
1.0,0.58452684
1.0,0.58536816
1.0,0.5838513
1.0,0.58280516
0.0,0.58163244
1.0,0.58430225
0.0,0.58077604
1.0,0.58320457
1.0,0.58149505
1.0,0.58502334
0.0,0.5811739
0.0,0.5808176
0.0,0.580173
0.0,0.5807211
0.0,0.5808475
0.0,0.581409
0.0,0.580173
0.0,0.5817595
0.0,0.58144504
0.0,0.5818349
1.0,0.58489996
1.0,0.585054
1.0,0.5848166
1.0,0.5820563
0.0,0.58123785
0.0,0.58361626
1.0,0.5842349
1.0,0.5850867
0.0,0.58126247
0.0,0.58253855
0.0,0.58280516
0.0,0.58035904
0.0,0.58108217
1.0,0.5848166
0.0,0.5818349
0.0,0.580173
0.0,0.5811739
1.0,0.584675
1.0,0.58502185
0.0,0.58144504
1.0,0.5842261
1.0,0.58337253
1.0,0.58397377
1.0,0.5854529
1.0,0.5843275
0.0,0.58144504
0.0,0.580173
0.0,0.58099204
0.0,0.5813888
0.0,0.58126247
0.0,0.5818349
0.0,0.5820563
0.0,0.58193845
1.0,0.58526325
1.0,0.58343494
1.0,0.5843371
0.0,0.581409
1.0,0.585163
0.0,0.58081216
1.0,0.585054
0.0,0.58077604
0.0,0.5823772
1.0,0.5849643
1.0,0.584675
1.0,0.58536816
0.0,0.58212537
1.0,0.5846388
0.0,0.58178955
0.0,0.5815743
1.0,0.5850867
1.0,0.58193845
0.0,0.5811852
1.0,0.5848165
1.0,0.58253855
1.0,0.585365
1.0,0.58526325
0.0,0.581409
0.0,0.58203757
0.0,0.58077604
0.0,0.5814579
1.0,0.58536816
1.0,0.585365
0.0,0.58102614
0.0,0.58170706
0.0,0.5807367
1.0,0.5844016
0.0,0.581117
0.0,0.5842261
1.0,0.5842261
1.0,0.58374053
0.0,0.58314174
0.0,0.58035904
1.0,0.5854368
1.0,0.58522743
0.0,0.5808475
1.0,0.5849643
1.0,0.585163
1.0,0.5848165
0.0,0.5811852
0.0,0.58274984
0.0,0.581409
1.0,0.5856142
1.0,0.58530647
0.0,0.581248
1.0,0.5843275
1.0,0.58397377
0.0,0.581216
1.0,0.5848632
0.0,0.5808176
0.0,0.58035904
0.0,0.5823772
0.0,0.5811739
0.0,0.58070934
1.0,0.5844016
0.0,0.5823772
0.0,0.5814579
0.0,0.58149505
0.0,0.5815165
1.0,0.58498883
0.0,0.5807954
0.0,0.58362544
1.0,0.58522743
1.0,0.5849643
0.0,0.5809626
1.0,0.5854529
0.0,0.58187807
0.0,0.5817595
0.0,0.58362424
0.0,0.58102614
0.0,0.584675
0.0,0.58362424
0.0,0.5807211
1.0,0.5842349
0.0,0.58163244
1.0,0.58404
0.0,0.58128744
1.0,0.584501
0.0,0.58099204
1.0,0.5851332
0.0,0.58070934
1.0,0.5842349
1.0,0.5842349
1.0,0.5843275
0.0,0.581216
1.0,0.58522403
1.0,0.58526325
0.0,0.5849643
0.0,0.5821982
1.0,0.58320457
1.0,0.5846431
0.0,0.581248
0.0,0.58099204
1.0,0.5843371
0.0,0.58070934
1.0,0.58487105
1.0,0.58578265
0.0,0.58112854
1.0,0.5848166
0.0,0.58342385
0.0,0.5821982
0.0,0.58108217
1.0,0.58502185
0.0,0.5814579
0.0,0.58203757
0.0,0.5810916
1.0,0.58522403
1.0,0.58374053
0.0,0.5807367
1.0,0.58530647
0.0,0.5807245
1.0,0.585163
1.0,0.5846388
1.0,0.5843929
0.0,0.581899
0.0,0.5810065
1.0,0.58193845
1.0,0.58522743
1.0,0.58489996
1.0,0.58526325
0.0,0.5843503
0.0,0.58498883
0.0,0.58151174
1.0,0.58489996
0.0,0.5821982
1.0,0.5856142
0.0,0.58126247
1.0,0.58430225
1.0,0.5822345
1.0,0.58522743
1.0,0.58280516
1.0,0.58203757
0.0,0.58170706
1.0,0.58430225
1.0,0.5840706
0.0,0.58452684
0.0,0.5810916
1.0,0.58361626
0.0,0.58081216
0.0,0.58342385
0.0,0.5817595
1.0,0.58212537
1.0,0.5846388
0.0,0.58178955
1.0,0.5847072
0.0,0.5813888
1.0,0.58522403
0.0,0.58081216
1.0,0.5850224
1.0,0.5847072
0.0,0.5838513
0.0,0.581024
1.0,0.5848632
1.0,0.584501
0.0,0.58112854
0.0,0.5804665
0.0,0.58173406
1.0,0.58522403
1.0,0.5843929
0.0,0.58173406
0.0,0.5807367
1.0,0.5844016
0.0,0.58144504
0.0,0.58187807
1.0,0.5850363
1.0,0.58479905
0.0,0.5808176
0.0,0.580551
0.0,0.5804092
1.0,0.5848165
0.0,0.5804092
0.0,0.58142906
0.0,0.5807954
0.0,0.58142906
0.0,0.5807245
1.0,0.58362544
0.0,0.58055526
1.0,0.585163
0.0,0.58102614
0.0,0.58108217
1.0,0.58314174
0.0,0.5807954
1.0,0.5856142
0.0,0.5811739
0.0,0.58112854
0.0,0.5811852
0.0,0.5806962
0.0,0.5810916
1.0,0.5814476
1.0,0.5847072
0.0,0.58337253
0.0,0.58337945
0.0,0.58141106
0.0,0.5815743
1.0,0.58163244
0.0,0.5813888
0.0,0.58163244
0.0,0.58280516
1.0,0.5842349
1.0,0.5835602
0.0,0.58070934
1.0,0.58536816
0.0,0.58193845
0.0,0.5804665
1.0,0.58479905
1.0,0.58362424
0.0,0.5807954
1.0,0.5843503
1.0,0.58494514
1.0,0.58361626
1.0,0.5854368
1.0,0.58502185
1.0,0.5834014
1.0,0.58494514
0.0,0.5808475
1.0,0.5849882
0.0,0.5819448
1.0,0.5848165
0.0,0.58253855
0.0,0.58151174
0.0,0.58142906
0.0,0.58141106
0.0,0.58035904
1.0,0.585365
1.0,0.5844245
0.0,0.58163244
0.0,0.5815165
0.0,0.581117
0.0,0.58203757
1.0,0.58362424
1.0,0.5843371
1.0,0.5840706
1.0,0.5847072
0.0,0.5807367
0.0,0.58173406
1.0,0.58493763
0.0,0.581248
1.0,0.58141106
1.0,0.58487105
0.0,0.58144504
1.0,0.5856142
0.0,0.5812081
0.0,0.5814579
0.0,0.5823772
0.0,0.58055526
0.0,0.5804092
1.0,0.5854368
0.0,0.5835602
1.0,0.5816231
0.0,0.581117
0.0,0.5804665
0.0,0.58081216
0.0,0.58102614
0.0,0.58170706
1.0,0.5844016
0.0,0.5814579
1.0,0.5850224
0.0,0.5809962
0.0,0.58102614
0.0,0.5808176
0.0,0.5846388
0.0,0.5804665
0.0,0.5814476
0.0,0.58141106
0.0,0.581117
1.0,0.58530647
0.0,0.5813888
1.0,0.585365
0.0,0.5818349
1.0,0.58430225
0.0,0.580551
1.0,0.5846431
1.0,0.5843929
0.0,0.58102614
1.0,0.58362424
0.0,0.5806962
0.0,0.58142906
1.0,0.5850224
1.0,0.58314174
1.0,0.58337253
0.0,0.5813888
1.0,0.58337253
0.0,0.5810065
1.0,0.58170706
0.0,0.58178955
1.0,0.58487105
1.0,0.58361626
1.0,0.5844016
0.0,0.5822969
0.0,0.5846431
1.0,0.58343494
0.0,0.58212537
1.0,0.58479905
1.0,0.584501
1.0,0.58151174
0.0,0.5808176
0.0,0.580173
0.0,0.58173406
1.0,0.5851332
1.0,0.5844016
0.0,0.58035904
1.0,0.58578265
0.0,0.58055526
0.0,0.580551
0.0,0.5834014
0.0,0.58203757
0.0,0.5810065
0.0,0.581216
1.0,0.584501
1.0,0.58374053
0.0,0.5809626
0.0,0.5810916
1.0,0.58454996
0.0,0.581024
1.0,0.5851332
0.0,0.5816231
0.0,0.5811852
1.0,0.58343494
1.0,0.5844376
1.0,0.5848165
0.0,0.58361626
1.0,0.58374053
1.0,0.5840706
0.0,0.5811739
0.0,0.58055526
1.0,0.58362544
0.0,0.5808475
0.0,0.5814476
1.0,0.58489996
0.0,0.5815165
1.0,0.58397377
1.0,0.584675
0.0,0.5812081
0.0,0.58123785
1.0,0.58526325
1.0,0.58397377
1.0,0.58526725
0.0,0.5809626
0.0,0.581248
0.0,0.5812081
0.0,0.580551
0.0,0.58178955
0.0,0.581409
0.0,0.58274984
